IMO,ShipName,CO2_per_nm
9737187,LNG carrier,0.5730526607005153
9878319,Ro-pax ship,1.368299454059705
9508794,General cargo ship,2.2614012135001893
9508809,General cargo ship,2.3066106250000002
9301603,General cargo ship,2.8895454545454546
9277319,General cargo ship,3.1441520136131595
9350771,General cargo ship,4.5247798475867915
9436226,General cargo ship,4.7277885548011644
9350783,General cargo ship,4.873521850899743
9750701,LNG carrier,5.220194827989312
9854478,Chemical tanker,6.067974895397489
9300829,Chemical tanker,6.367472431962626
9277345,General cargo ship,6.899449728260869
9523548,Chemical tanker,7.927781155015197
9349461,General cargo ship,8.545897435897437
9816529,Chemical tanker,8.670343787527578
9118496,Chemical tanker,8.721804469398213
9436238,General cargo ship,9.094288321167884
9829796,Chemical tanker,9.851514492753623
9505596,General cargo ship,10.39893581081081
